BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
1001001,スポーツ・趣味娯楽・レジャー,ゴルフ関連,ゴルフ教室
1001002,スポーツ・趣味娯楽・レジャー,ゴルフ関連,ゴルフ場
1001003,スポーツ・趣味娯楽・レジャー,ゴルフ関連,ゴルフ練習場
1002001,スポーツ・趣味娯楽・レジャー,テニス関連,オートテニス練習場
1002002,スポーツ・趣味娯楽・レジャー,テニス関連,テニスコート
1002003,スポーツ・趣味娯楽・レジャー,テニス関連,テニス教室
1003001,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スキー・スノーボード場
1003007,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,ビーチ
1003009,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,マリーナ業
1003011,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,ビーチ・海水浴場関連
1003017,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,ウォータースポーツクラブ
1003020,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,ゲートボールクラブ
1003025,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,アウトドアスポーツクラブ
1003026,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スカイスポーツクラブ
1003028,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スノースポーツクラブ
1003030,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スポーツクラブ
1003041,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,フィットネスクラブ
1003042,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スカイスポーツ
1003048,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,サッカー場
1003049,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スケート場
1003051,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,オートレース場
1003053,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,陸上競技場
1003054,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,野球場
1003061,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スポーツ施設提供業
1003069,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,プール
1003072,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,武道館
1003073,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,体育館
1003074,スポーツ・趣味娯楽・レジャー,スポーツ施設関連,スポーツ施設運営管理業
1004001,スポーツ・趣味娯楽・レジャー,ゲームセンター,ゲームセンター
1005002,スポーツ・趣味娯楽・レジャー,パチンコ店,パチンコ・スロット店
1006002,スポーツ・趣味娯楽・レジャー,映画館・劇場,映画館
1006003,スポーツ・趣味娯楽・レジャー,映画館・劇場,寄席・演芸場
1006004,スポーツ・趣味娯楽・レジャー,映画館・劇場,演劇場
1006006,スポーツ・趣味娯楽・レジャー,映画館・劇場,歌舞伎場
1006007,スポーツ・趣味娯楽・レジャー,映画館・劇場,劇場
1006009,スポーツ・趣味娯楽・レジャー,映画館・劇場,能楽堂
1007001,スポーツ・趣味娯楽・レジャー,公営競技（競輪・競馬・競艇・オートレース）,競艇場
1007003,スポーツ・趣味娯楽・レジャー,公営競技（競輪・競馬・競艇・オートレース）,競馬場
1007008,スポーツ・趣味娯楽・レジャー,公営競技（競輪・競馬・競艇・オートレース）,競輪場
1007013,スポーツ・趣味娯楽・レジャー,公営競技（競輪・競馬・競艇・オートレース）,場外馬券・車券売場
1008001,スポーツ・趣味娯楽・レジャー,カラオケボックス,カラオケボックス
1009001,スポーツ・趣味娯楽・レジャー,アミューズメント施設,アミューズメントパーク
1010001,スポーツ・趣味娯楽・レジャー,ペット,アニマルセラピーサービス
1010002,スポーツ・趣味娯楽・レジャー,ペット,ブリーダー
1010003,スポーツ・趣味娯楽・レジャー,ペット,ペット預かり業
1010007,スポーツ・趣味娯楽・レジャー,ペット,ペットショップ
1010008,スポーツ・趣味娯楽・レジャー,ペット,ペットホテル業
1010009,スポーツ・趣味娯楽・レジャー,ペット,ペット関連サービス業
1010012,スポーツ・趣味娯楽・レジャー,ペット,ペット美容室・ショップ
1010017,スポーツ・趣味娯楽・レジャー,ペット,ペット霊園・葬儀葬祭
1011001,スポーツ・趣味娯楽・レジャー,プレイガイド,プレイガイド
1012003,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ダンスホール
1012004,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ダーツ場
1012005,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ビリヤード場
1013002,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,遊園地
1013004,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,テーマパーク
